signature,sent_slot,confirmed_slot,time_to_send_in_millis,time_to_confirm_in_millis
2FLEisvJiqDrH8AA6Y2WKnPQdVGwuy31rQuyzfLd4diJ98kgHcPFbDdouMEWov3wtdZtJGX9sJWXNA9s5o1XuaNf,232084,232084,1,272
2ouwbN9vAi1jQ2QSEsn3G1e5uWNdECXhB239xvbWTG6QnEMnQffDLMHyMpXap5CqCbK8hqb7fQ6mGUJnKCNN7eSJ,232084,232084,1,259
5rSVfrKso2DSZxNFD3w16qR9aLdir3G1V4wuqcgozJwUp7iuivMzXAVSyPP6z3QZxiRhFTNLUBfL1b9x3xw3Fpev,232084,232084,2,251
3ATqtDp3nbhb8LpzFhUm3vrBU2MALGwS1TYXXgFxVWVLA7qSuTguzJRttcsA82Mb1JQRJ1SAk6iKrnR95dxp1L5a,232084,232084,0,281
4tyHrkT11GCUVz9HMozNkGbcDrGprhXM6DTzaKQyDqHcJbLdMFBsnqdL7WSjD1XKE4GxXPNU55AcA6uhvZ1AacSs,232084,232084,1,260
3cdbdPituvTSsMadfET4VNJD5yUXtwHm8T6mipwUP29TU3Fm4R8bF4B51NHsUmJvEk2KQPqWiLLeW8Xg9PynF6X9,232084,232084,1,265
3tmWX3kLvJEW11B4FCXQzGpMay7ieDRSK9JtH2V2abAvr2NpUUZnS9PhhKaSSPL1XptgsTqwfRMy9puJqtxCZr2R,232084,232084,0,279
3eUtyRiXi35jWQeGJogcaRZUCq4up9pcbS9NTLJNCpArWs37RRNyM2VaYpGyxoe5Su68Ubb6rkmVoWjmted7AHpL,232084,232084,1,277
2XiVvPn2mZcycS93VCc43MheruZzaT3qwWssbnHpea2rcMXHMvi3VKqcYEDhMKx8btyLyzii8W3zh8SJ2tMLNDcy,232084,232084,0,289
4JJqvGqPgMyo1m4VUYnJsEfsXiUUBVnJQ5VGpFwA1NWsKJdzSEaL2V7QyDp3mjVT7Lifv67mAtEuTYevDPBUXXy7,232084,232084,0,292
5QsxqCEwKwsXGfZXGEvsbnnN6knjejRVCwAuvUr5rc19QHBZm5BPb9KME6syYcbqXyDks4emQqw1N4wT1284fcQg,232084,232084,0,291
3dNRmpuM36VKMpBKNNq5tVGGmvLg5gry9L3WUF9Kfce4mnMBpHypJwHTTXNWSDuCLvyaYMhALs8u328S9Miq3CaD,232084,232084,1,274
TYqXBeAEsFmgCZvkRypsVN6HXMshcQRzqxTNWmSPNF4JZ1WZhLD6uv1REJpwvRPqXGz8tE1J25ntv7fKSgxdT47,232084,232084,0,294
3hHDunSBNyPMkby8aXsxU5KPP1AFLAgWbBvZTM21x79ohw8uNKs54YZx47f1DEeA8LA2bMXFiZwZL9ypq5i7hzbQ,232084,232084,1,254
39vi3p9D26XJK5BK5guv6sixhycQfs8v4ZycowqEF6AyPtUMiBwXoy5ZDNC1BkhV7h5bmFWpwsnugjw3PNuq6SP3,232084,232084,1,268
214nNAZEn774jnN2yvMYKw5RMKan29CahoYEUncmpYBA49qtioRKEksSpuvFPsiX5cwitr7Zp8mEpUajeFPiMxJ4,232084,232084,0,276
23niZG25BAiPHuK1XSLov7QB9tFHx7p4cfajtrR1vivMrAXtwC8TTnpW2w8aPBE943bLYNdQr74hxfgjDGdCdUfC,232084,232084,1,283
WyVMcibxCEDD9ZvitErCJuKAnMzgR9PoFRJcaR49cSpRY4tYaXo7N8vcNdUt7od8mediiyaKtQSFZ5FJ62RaVmY,232084,232084,0,286
23kFRDwWovz21zWXNCJLF5SjnN9ycmEDqAfj5n4uLsgfoS483jsvxcPz82uh82kesvSpCd2imkjoJgm4Ex6skamq,232084,232084,0,276
wXcMaJLFTYbkVumLqDMQwA4srfRAtADDKw7cnBMaENzTMqQQmW56FDoXjeYLd5T6zBJmhEDniSGFh65FLX4TknG,232084,232084,0,284
2tsRJj4zrdm7YoEY9QfNZ5UqU9dZGgYjoBuMfjRjBpdxoieGw9W3SNXjEhoALrJBexQDisqznsKu1fd75wRHt78V,232084,232084,0,296
xDgUQ5Hm8nD6sf4D29VFkYQDtzw1EDzHzzvnCCcakU6yvaLKewBuHiagbawiAkK4kRFg3hxrvp2FtGKn5LYNiWM,232084,232084,0,293
5JkGb2GuSjUD6taAi47XYku98FiwDBJxYpWQ493o7vK8KFBf2deYTQZu9ryr2opxqFRUotDTtbJpGD4P1eV8HjsM,232084,232084,0,292
5Ax4gmHGw49PU19fSZmujQjN1e7boUtH1bLupd7dy8o9P3qhjyAk4anyLLcfpwc7wgEtHZWiiihBwgHujHDJSjRq,232084,232084,1,262
3fx7n4Fxeyv9MBZEwZ2JxV6KzsqCZMn713wnND9UkQ2SiHBH3Yk9HozcbuBUE8U7eECYHzQGGARLndy3TE1egznn,232084,232084,0,286
4Yvvnd3PNFqz52PFbGP6Vxp5Ct2UScZTpuiiTETyZDvtMGifXPxZupKAXVzP1PaieRcupGMTyCdedmxXYPfjfhAJ,232084,232084,0,289
fHkc2Q3EvAi5kWGbySJ3CGqQHzsvwP1dumdseVygMRGJgTeckG5cBko2rTLFjuTFCcMpbS6d4HvST92bckvKmKC,232084,232084,0,295
3nWW9PQ24aWH23SLWVLgCvMkxhSJs1D8YdRsoM3hFPq3TA7Dikb9cHG2EhcDibmbA7xMKrEu17vu8MxKUybKHhTa,232084,232084,0,285
2K1fVXWeDGeVbzDfeEAEv9zM5ZZbiZVsexzJ3iEwzuDNULxjGBLbtzEkyxxDzweAZKhmLeibjRZ8ZitQj7YUbsr6,232084,232084,0,289
4Hh4p34uMCQYEimcfaxki9nbUVsx9PRavNxgUE8iyUdSAT9DdEzavLbGG4wmqgsKgQDaT3b61LW9ZcQdiHuMAU7t,232084,232084,0,279
2UzfLe8hsgSkSrNR1vLRRU1EhpdeKiNzMM1o2wsDYqTf3ouiqR7hFgQzsuDZBnuectdeDnFzpb78kSk5aGsb5tCT,232084,232084,1,271
4YJErxpAEm99uJJBGa1e5yY7P7qPJPX6PvMErmefwunfMDDSTe6v3TidkgYuuFkQec1YoPggV9Ch3SqCz4SpE8d6,232084,232084,0,298
5AYXX5Z24CRddKXncbvrMVW1HnTgRuCM5ng36ZKBQewK23nnfz2sWSECTKubYUwh73HXTUTAa3YNcZhs5WrNicj6,232084,232084,1,257
3vZQ4UwjVdT2vmVYp2AnC2FpnuNdmfu3Ca6aUodMQetb8fZpCw7hBYuNb9zPwp9vHyMtctu4okD26rKn74QYn6UQ,232084,232084,0,283
3YQ6QSixds6rFyz2esCYfNDefigBKijirML85gMHmhpef4QGrG3GDhA4CBbLo9vTMtUiL34b84WNpdNGoJZFAGQf,232084,232084,1,297
3acp4ogGiU7uK7x4UsVagqQZYSUXQiUDmrgRHbGsXqH9SRYRVJGg953X4na7zNW7rqe7vjVac7tgarHNRi35XCzi,232084,232084,1,262
UX1sYJZiMzAZcE3QGB9QngtwaKCzNe1SCFBCpvW4bEdoD9NNG2KHhNww75fBgcpMH7WNuQnxJGGDLB2eLTjmU6a,232084,232084,1,265
45ScV53K5Fhx51itNZ8HNhmW6nWhhaELpD7kXq3HiTpMP5dTxwQKeGRgzNaNWRagMdVCrPSx4vid57V8wxLy7EEu,232084,232084,0,280
4zn5tDFLCicuWckN12VrXBDVKbkXZSZgsMwoGGBQa9Z1fAuVaKwMT4GezV3KHnNxXWkFbfSEPxyVvs5rqFg2EYjo,232084,232084,1,275
2x8ADL9T539vjSEam5HEw7xqgLvAzfkmQC7Saqn44QgSqupXTXnjWfz4vnQFNMxC5vrmsL6ZgVMbC5dokaaTiKPT,232084,232084,0,296
4dy3UN9qUELazFxzUqy8J8CvQERGrHaw16bygSUB2pcvwfQrKnZYEiR6ru4taVFRyiwmc8bFsaAyzHoUpPLnV4Lx,232084,232084,1,288
66aW1fMauTzaJrp7z9wVobRZzXLZ4kkX1Xn8kVsxwfC3V6fGmeKfGMQ2HjNCWpVY3wA6ZPMznomnitfdamSa814G,232084,232084,1,294
4JN7w4BhciUhWDLKrTVqtecxQXZCM2NYroXvfQe5fpieVem5KLssh9ezbobQibxfXmHq3oH45fBkindFaG6wYLbK,232084,232084,1,285
5G434nvNrS4vj87R7RJ9ujEjdgvpnBe3jSkqwApN3Tyg5VswLNorNGusTpkJgVHGRRYDdkDzqbXC6ii5Jic4a2Nc,232084,232084,1,290
4jEpgvjVXEigLR9mVBdmgjXHxJMJAiStySZcAGkBEDx7uiMysgYVAaQVgPLZnxKoL77ftKj4tXVeH6otbpjgj5eQ,232084,232084,1,259
5KYi6TRDoYaGgzQCSYqrtDLGoqQEw5W1TrMUFSXbQfTSoxcavQPL2MaNgsBwnEhfA7Avq8fLvhruLmNjRkEZQf1q,232084,232084,1,278
368JWdXW59msTP1g6Rt3wVzuWjEnH2qfJZdjqbFxTS8ESCiPBwphgbEVJx9j6sAicw1yy6e1tN3efNaS3RPhGv9m,232084,232084,1,280
2MZsrTr4zTEfkAjLrd7SDKfthGQsvJDAWcy5AAQeXhprniT4uyiDw5iBA6f8NaCuRJWNXTUDhmZnCwC1SjvnFd91,232084,232084,0,291
38HQsdwP3oWUumzcsa2ZLffPcYjNcUZZCHL5LGfawnSXEBopMnhGy9a3wvGa6fepHwXXDwmMQsHV4UJ62Yvh2zP6,232084,232084,1,288
4ek71YLqY3vd15nf3qgdvZpQ4GE6xKD73Hn5Yg5biWBzt6eTAoEeATHwY1zrxdA6vqHpXLLtAAQH2kUeJcvMVxnY,232084,232084,1,281
ZVK9g5TQQLD68xg2fYxVbgGy2pDDca4NURurm7x8eAmu81ZLc8YtFcmCTwLjdufnnGUSrXU5UbrX4PG2iSERK7r,232084,232084,1,284
4p1mzQFtQFTJtc4ijSGhF8nSvdFPD8Zghne6hkQoKU74UvHkgEL2mEgAtzC4yaBMdhMuyXysBVSCTFpnE4u1HXaL,232084,232084,0,294
3Lq6HEVMr4UE6o3ybdVXSBsHDHdjhz4wpwWnD8ncwVhLuQL4xVfg1D9CfHuxpaKVM6fa9GqdRPz6pTKYdF66QB1Q,232084,232084,0,297
9XbuWbsVd255mmtm8PQsLbGbdBivjozCbvqJQX3A7gf5tqn5w5BqGE1ctWSMjiey6Dy7wxAiEACFr6mZXTnpkvH,232084,232084,0,254
5vrXjEgE7GwrfYFaAATwc3K5Xc2aqDVy77nEPpAmWj5zS1eJBMthXsUBxuUp9ajmHCA6JDjigxkRiSxwPXV9DeZp,232084,232084,1,283
3cbPbsKCg2V7rWH3Evjt6bW5weG28wVNstSfvWau5Ha2NvBFtfhEyFtYJBkxLjcReLPCMV7zfC9zP3Chn9BdbESy,232084,232084,1,257
3oWZKUygiFYM99sRVbfKXRDcUYvPQiDcCQdAVEodgoby5FJC3cHqgA1tfFmCL9GNMLXdT7nUZk7YpTQZMg77aLUs,232084,232084,0,281
5nHuPUfuLVmuptfssWbKbyjmpkZ6CV5jkUR8uj93Z3MyKt97Nj4gWhfK6ecSzdnUTtQWY7CgX2HHW2SVNkBtWE9d,232084,232084,0,292
5pb1uGLEqvsmvs9vqMDwLyQMdmAi5zmPmL1NGxdtuxdn8PCe566ujSmi1BREZE2PkrWc9m416cUnJc6NTUMvwVAC,232084,232084,1,258
61v13qMBkD76rRZqa6N54nHqffF3R1uLpnHeM1kc1L1BBr1gUJ6nhVUGPRvbBVAnKDJfEFSp9FwLUwWXi1hTYYMk,232084,232085,0,740
4fnRG2Leg7fbXL2J4SUvb766cNCnWPdrWrzuehyq9mLHkPKqxLEZiGvTfMA3eaGeouiJDVaDSSd7GCmnueq6NDed,232084,232085,0,740
QpfbGL2AgJHBnBs9Jd3vcNZX1PfzGqKLLQLr5pVST9gKRqEyfcYLKQydP5bcSDMvv8BhSv9FM8i225ttF3ce9Co,232084,232085,1,735
5wKzuf3Fq38aYkdQDrmGkrzUzC1LdHiXYx7pLKHYgM7bANLNHmN2RTLhGhBpFsYvsYctTEi5hCuva6L56oq7NM3b,232084,232085,1,768
2jBe4p4SAnPJNKDpYbezip4wF62qk1gRECSZGQ3wQFsYZHh9Gs3aWBLABtyWL8FsnqhsFrF5t5FsAPeGYHgEBuVb,232084,232085,0,749
2eofgzh8dv1hwxKmhyrpUbWGyvs3ynT1Vtot8DWUanSz42pcofCXt1jfokiWQn4Fcd3DoZs9TECYF3YoHdos8vou,232084,232085,0,744
2V8jM6KKuLNjJGzK2fo773XS7pHakZ7qtgKvWenguVSuHFFJgQmVmj9wdt2D3n641cWcdUnfTa8N649nLz93qxXa,232084,232085,1,752
2TyrRK4zzyRGt91d4Yxh3iJS99WbkM8Ue8E37q7D521zjMaaXpYptBKpoZuQHF4AHW6NfjX4sCJwJs3YPFnsSkZT,232084,232085,1,750
d5qP1jWtw9v1tcss2RKuUh2JkL6HQDbcAjXunmsewdsYwPhFTLVMnrASuJw5i6rq5untd8jbXekDd4BZBd6NFww,232084,232085,2,746
2ff4mQHmaab7dUEVagtMYvDf7iZaFeEKVWKxdcMxzmN8fxqXZWkoD9X6LUcCq9gkcF7ohrKsR9t4B3inpdEAGBco,232084,232085,1,734
4HNLVWFczfQEwinTa6wSwndiKhaYUQmNtafJvGqtFvQ2kSyn9CFUqLupRZSvcWGVTbRHrQcT3Tghsxb5MQuC5ceo,232084,232085,0,731
4BogJpGdwTjBnn9qojzNYRVEApeuz2KccMKgeLiaWkhA7M2qRZBLRGaKPAWqB4yGyywsU5Da872yCUra93PgEqRd,232084,232085,1,754
HfriGsQ4bJnvq7BfQxxDMQYsZi2ev9YX8UQEFMkK4aubwNPATU2HvwtvJRp5DBuQ5KK16wBZbkMed2Mgh7osSxb,232084,232085,1,745
2h2fmn8nsMdGXLjTU82MzTyDdpk1HvPpHqn3pqSjUqxVGBsDpCe9GKWDr9qWMJia5sUhc8MvigHemhB8LLHQSFeW,232084,232085,1,738
4fbLRG7D2DmjGtFQAB9eVV9SV2Letve2ZQ1iWfHdTHBd9kSckiNtECUtAQYnpaT6z7BdY8rgrjZThXxpiYYBoEN4,232084,232085,1,771
4QfxKjSGyvXuUC3V6Zsd1Pf4cR1jvucu6jMwWdnxYKiGMZhCN8qtFfJwpN7DnoDzswidf7u1CnyXpqLopztBQbsG,232084,232085,0,738
67FhL7XkkEaUUGadXLBGJrpszZUUvvJfqzGRtUKLW4taNJgEY1pxTZ94xh9NMEiWJiFXrc7NJ51RbiGTu1u5hzcK,232084,232085,0,748
LeaendRyWREkhNujNJu73LAnL9jfepdFB6jsyfYiUuK8t3V6RpSUArfbZ9h6ds3ahm5rpqLXWv1hNjHYZoxD1Lg,232084,232085,1,742
4THmcggpjw6vJrFQhu9HbFTpZYVcTgpgKa7DeahutYYqHjnDgtEepw98ijYrvontp5dqJWfSi9u3uUgRw5pg7xGj,232084,232085,2,728
61UaDJarBe3CN9rHzPbwRZ9iUN2it27QWTgNBZReJK4nj7kZd1f3LAKRPu78N7iMmBT4HsFEpeXyVZART3QLntHa,232084,232085,1,779
3P4pJ3EibLchzTK2LUfPArVa9ZAST243maRcW7o5aUU51yYRdDqTpQKqs5meHF6GRMjWf9gp96mmMU2btcUUdYPy,232084,232085,1,761
UU79woN2pDW1UtDkT3yndWCARLQyJ2k5KzgLs3byBvtEi5GwVriGp9zDvcmhprsCuMm8pBvbgByopGDSVQz8An7,232084,232085,1,759
3sC8nqXP8q9zWsuZx2w2xLiZ1pJYCVBNTWpAKW2DXB1hVZdrN2WRw76JDPFuAvAHUGwDPHT5evQSdqynTTyynEAV,232084,232085,1,774
4aoPbV9ieuLMXADhte9WTEDgnaN9vyLqYDSCVfZPzQz3SxXEq6LJfbk8VMogSENVgRUKSfUaS3tqZ29soGboh8uh,232084,232085,0,752
66XdVvt3dYceF8ZizsMLvWhY7egCKXeoJUZXZ8pwmDNCV4YDEbiE28by89uyzTRu2VYcM1MfRzHYYiDJLC7XZh3L,232084,232085,1,732
2qCMZNonHGu6nMa4BnBccHQxZKhzLTiPTzHzEsZXTmMeAvwKuPtX5hhrjBFXyuB4AGCdWjxb6DhyvzqvPDKf5u2w,232084,232085,1,772
Sw8Dh4tDAhw5QuLvJRTmqpa76Nqo2FBJnUEjFi3EpuukSJhZciSbQawKzCHeKTkzYLR8Qiz4GuEr9CVx8EQ7P6E,232084,232085,0,742
KmMr7L3pWGvUwod2YUBiSRL3yG1LYCXgkpMveRhFsjfy2mw1JRJNv8Y2Mx5YBdNX16MpsPmKjJBCPb5BDWYkiLi,232084,232085,1,736
3d9GDVAVh3VLFgB89xMFNegRQmJhDFHi3qUZGGhzd61wrZShZeDnRjobBRNaMA2fS259x43c5FGKo6wVn7JN6Zpo,232084,232085,0,747
4dUZTPGv49VvjEHMQsUfdJTZaT7yW2BAbstgHk2Vhbyk5DTJrqVYfRPRT2fD5LSjd9aQSdDUXg7qzeqiZE66HY7e,232084,232085,1,755
4j31z5kbNdhJB73P51giASN8JZfxRvwuumFmcb6KYn7TtQZiUnwqd18vb7rvEX1YQXNcUu23R5TNgQeU9U8GPNaZ,232084,232085,0,729
3WGHbTJ1QtRTkmN6FasSJmtZ6gdP7sEvd2rPboK3E9Ye5FeTB7qYCbyKaLjH5u4NW58LAeBpHqXMZ1wPM5NThsx,232084,232085,0,747
2zBS95PqGN7w6wisFpxPxpU91XuAcoUEn3aPD8ctXwUoELf5UL4qJEiJ1sEN851sNXwjC63grbBdLCSnFrF3y1mu,232084,232085,0,750
466245yBxi8Q19QEcvLPEx9VcFMES3ygPZzKW8zFVQkjZnjkp8Rn8Yf6pJgz368GSmv1k159Gt8Yy6V8zt8VUU8C,232084,232085,1,775
4qF67c91VnZoUhVf7eX5zWX8645xsvo8AMYSatHxPfDKoKhNDNG7ivZQbSgShNw2zAoWth9TfQZhEDTHA1j36knW,232084,232085,1,770
2nYyXb18mLsDMbhKFr3GMChYKrP3HtCtFP9Y7RLXnAFHcZnaFonXuL4vjPBqWhx1Ej31798rwcbpfaNxxMcNYhuU,232084,232085,1,781
4NyztoBK6XEiRkWCTPREUip57LpdqyHybRU8vfrq2H8PPaFWyrCceHuu1HEt33b6rgTJJnhZmbcv7TfzbpVVxWZV,232084,232085,1,733
5JBZztb4pPNmSquLtjdWnJADvdn6G1eX63ouUaqat94pgk5XYGKEXjU8wcXVWKk46QuYMUSxtySwa5rGbsuk45QX,232084,232085,1,774
2KC5qTgiL3FBLFK9LKPmifvzxdJYA43BUjVPQaBTG886agWwgXizFntWECp9GRuNoKKAv8rMBtzRFYXFJpCz1hte,232084,232085,0,749
64ZvSGzwk8wJZNHdfaVFYcPDW97GwNffJCr74ytXWM3XQiJkBxhc9sZS4zYZ6B4cdT9xdv3X7DhkJ8sxpisjuUGU,232084,232085,1,753
5XFprGUKJJ9TzpZbX83xSnB8GDCA6bv61tKmQcvtS9iXivRCzfA5HqVkKPRsnRsDBj2EetT3U39w45Lh3kE2WDg9,232084,232085,0,750
2gsvRyBm1Gce8EHeAR6wJz6r8nVnXz6P2DBeHv7f25ovmjLsWUqE53evQWXWKT3Noe4Enzbz8Y8ft48zUaZmHoRX,232084,232085,0,732
2ZSphjMdFQZTSt4eG9ooxh4s3Hb6mNvSJfNxuVsVqET5Z3tWMrR8mfLhn6hsze2Y2FW3ouAYrPjfLP7XV7NfDFd9,232084,232085,1,767
4vRW7mtKt4XEbZxXT9uT7vAj146gcYpgnDpbro6c9zb3S57DfNrnUwNqJGhsWxByVhrx4d5wmAWjqyRTGRczfgCp,232084,232085,0,742
5nUKijXsbbV5ZpvXH4zgrVpdgXYQJcZoGVYm1gn73RSU1kMzcfHXXHtFto98PuQAMJ1RgkUy5ZCZZtXDaU4ZrY9S,232084,232085,1,777
2TW3qoZ3gaFYv9WRTNhkG437cMKRRAwk1ALG83Yq9CxsjKUo84P2xspUqh7XwDeUGBvyiBjHmoJnTkj4DHmTiHYs,232084,232085,2,740
5w3aAtsi42qispYPGXatwZZtnA2iiaTpVgf3qJYhf8JRD524KuUGxKzGzDY4g1E1nxTVdx717gfbMFtWFcaP6ZqZ,232084,232085,0,731
3rQiAMkskJgmLAy9YDZKYbYMdU1iysEUndgtjzsJLqiYwQ7abqTh8ejaqKUan7Vnu3VkYdu5Npo9cqvgXzs2k4V2,232084,232085,1,779
5tpbFe6BryA6wEP5FQ5zQEDkhJbrW1i4xv6M1cfZ5qDt2GpysHVwRFhizF8mYgVV8Ro8aVuxTwtCr86CTphezbUh,232084,232085,1,752
56PwhkJMWf2xMBnLRshiGAxjNxm3FnBA9EJFCpeJVadkxiheN6TBG36Nkp81agqhe8NnaFBBVaj24HerV2V5bDqo,232084,232085,0,727
3aC9akLa9UDK4iJzkfyVKAHoEm8GPsenNRBhSLHTGc8WRM4bPxJvdZ4P1jxRgFGCLr7RtinUtm2ju2YR38TnaHSc,232084,232085,2,735
2aQpcEbwdQQggoriNFzpphkuPA4Ypxz6ng6CZ5jFJ1sn8Wj32kQD7Xv6AnYkTMGHovzGxfD2woKxC48V41QwMVjt,232084,232085,2,744
4XhTkeLVmendutXXybkv3t7LHp1u7Vdrm3pw5Fufo4y27WeMPFHhVgKHZDWaFufvqmXSeDGgaJg9hTUPBkBZqsVo,232084,232085,0,730
4TTwWQQ5LYf3Ux3iRss4sn1Th1z8NqDSAowjYg8Z4MwhPEXJFBtFhfYfpuRgjmEFhujB8hH6m7VvHWCq9RWVKogB,232084,232085,0,739
uNhqeCRtj1M7Kh6PKk5wTmDiUSQivBps1HfYDZM7PN1EHgayMwkoX5zCJwMTJq7rZ5HTgkgaEhdxV443hWDVVuK,232084,232085,0,733
2j7Ve5MS2qiN92sgzfHTzyLKksyfAgnM3ywgE2x4NCXta6KhYdUtWzp93NBtT2QXfSvecizbVoR8ACee8Rr44dKb,232084,232085,0,747
21we4YiHZGDTyKbJHVcyoBm2JfpZmWEcxzH75qn2zwAhWajRW1K6N8o2z1Y9GVsCwYkvAYXQU7mcaPMooE3yTLhx,232084,232085,2,757
2ioaHa9dqbhgz5Ssov1becMcLXs2U3WyftEPqebPBhwphdWUmxBAFFeSAPFT4xtrVA6EJUZDT7pAtwqfXKtS8ymj,232084,232085,0,746
3UsHRUWwN6j9g1Fsk1tedy9xehcV6N4o2ivRJZyPw6FY4KjEneSvDuGpBdhswpPiZ6C8fsNMfFLHtx1yNHfTyVa,232084,232085,0,732
26RuVtgZo4MQf2mqRa6Pa1bsXruUAxF3L5tEGa2fuQX2HtyfAz5bK6J73xh9fRrLNDHdB61XwZxR55yjcE4KKTpm,232084,232086,0,1153
55HLEkHvkbyo9TEKEUrqVEXu7Vgh3cxzVTW8a75o53FgzLcZwJ7jJELzrEaUsbTewt42Pj6nmxY4wG4nQfWay3fv,232084,232086,0,1075
3DGLZxAe9dSXQ1GYipKXyboTbnZthF5D23TuP5wGJXYQniddiDqRoga5msHPK3csvYxNAaq3AKzAHhMXS8kLofUC,232085,232086,6,872
6n8jUvY6T1GRH9NdVLYQPVqYyF5rVSCir7Bh9mutC8iX3WNAyqddz35LDqUedF5nao4FFkchqfSdbe5geEHZqQk,232084,232086,0,988
2YUxJWqE7262Sn2eUD73ekMQ3SnAAJov9Y5b5NH6tSbmZyrVEwAGUgGfswV7S2EW3RqYnN1J2cZJ9ZoaNAf357Dv,232084,232086,0,1096
2aEz3iWJQxZnpRoZH6W7KJktMBN1X1gK8kZarPdT2HqSRHWGV2F5QCGubSKB9H56MrcVYoqTCjE4RRzPXPCv2YNJ,232084,232086,14,957
338ej8JiN8AYvP97cmMzqSYTFQxmGrFkPu5Tug5PWqwMHGoBpLMQ8gehbYWvihec1jHdSx92dNDU3M4MSYs7mzUd,232084,232086,0,1105
AmSRHED1smec26WLELzmsQdPQ2tvzG6dg3mTsuEomo5q3vFqctvK5mdUoAyX6w7NAPP86D9r68Sy1V6d9gXe4ep,232085,232086,0,838
4cctV3J28SrpctTLLWTAxZPVJFAyXskco9HRGhHwDgmRYHw8sbajF1hXfYFbDg6ACvAexs78PoyUB9hyEmQWVfag,232084,232086,1,946
36p7DQjH26qDtVMPrJCLT91z3YifCPA4egNL8dw3obuXWNy5inZcLo9TYHWxqvqfW2BX98EwVnNvimbH5zkR4DKm,232084,232086,0,1096
